iter	Passed	Remaining
904	35579	3734
905	35592	3692
906	35606	3650
907	35621	3609
908	35637	3567
909	35651	3525
910	35664	3484
911	35685	3443
912	35722	3403
913	35747	3363
914	35778	3323
915	35802	3283
916	35821	3242
917	35848	3202
918	35867	3161
919	35884	3120
920	35909	3080
921	35933	3039
922	35966	3000
923	35999	2961
924	36023	2920
925	36048	2880
926	36089	2841
927	36126	2802
928	36155	2763
929	36178	2723
930	36197	2682
931	36223	2642
932	36237	2602
933	36250	2561
934	36265	2521
935	36276	2480
936	36288	2439
937	36301	2399
938	36311	2358
939	36321	2318
940	36329	2277
941	36340	2237
942	36353	2197
943	36363	2157
944	36374	2117
945	36385	2076
946	36395	2036
947	36406	1996
948	36414	1956
949	36424	1917
950	36435	1877
951	36443	1837
952	36452	1797
953	36461	1758
954	36469	1718
955	36478	1678
956	36486	1639
957	36495	1600
958	36504	1560
959	36513	1521
960	36519	1482
961	36529	1442
962	36537	1403
963	36544	1364
964	36553	1325
965	36562	1286
966	36572	1248
967	36581	1209
968	36592	1170
969	36600	1131
970	36608	1093
971	36616	1054
972	36622	1016
973	36630	977
974	36639	939
975	36646	901
976	36654	862
977	36660	824
978	36667	786
979	36675	748
980	36682	710
981	36690	672
982	36697	634
983	36705	596
984	36713	559
985	36721	521
986	36728	483
987	36736	446
988	36743	408
989	36750	371
990	36757	333
991	36764	296
992	36772	259
993	36779	222
994	36787	184
995	36794	147
996	36801	110
997	36809	73
998	36817	36
999	36824	0
